AuditID,EventRef,Timestamp,SmartContract,BlockchainHash,ValidatorNode,LogType,Details
30001,50197,2025-01-05 17:03:53,SmartC-Policy-v3,6822ba72fb7bca6bbb3b16a7a009ab113f60f8ba9afba8aa400af13636827afa,Node05,Event,"{""type"":""Event"",""ref"":""50197"",""ts"":""2025-01-05 17:03:53""}"
30002,10026,2025-01-25 17:03:53,SmartC-Policy-v3,a1a935a2ff9612bff4aaf0c3e42cb45829b1e422aad6f0c295f495664920a213,Node04,Incident,"{""type"":""Incident"",""ref"":""10026"",""ts"":""2025-01-25 17:03:53""}"
30003,10008,2024-11-10 17:03:53,SmartC-Incident-v2,82dbf1dbc96400d521ad9a139add27fedf1e16a2fd3edb363cac70ebf844ead3,Node02,Incident,"{""type"":""Incident"",""ref"":""10008"",""ts"":""2024-11-10 17:03:53""}"
30004,50268,2025-01-18 17:03:53,SmartC-Incident-v2,b4fd004462072026b340552ba1a13a18c4b817c8c7c1cef7cf7e49621091ea48,Node02,Event,"{""type"":""Event"",""ref"":""50268"",""ts"":""2025-01-18 17:03:53""}"
30005,10025,2024-11-25 17:03:53,SmartC-Audit-v2,b0b3f71860c00266a9cfcbff762ec26c04a469fa24a984d977424ebcd362b592,Node05,Incident,"{""type"":""Incident"",""ref"":""10025"",""ts"":""2024-11-25 17:03:53""}"
30006,10143,2024-09-17 17:03:53,SmartC-Audit-v3,639509aeb8850b0d48c63a832c21c0daf3e5bedbf40f5f5581c68d97d55f80a9,Node03,Incident,"{""type"":""Incident"",""ref"":""10143"",""ts"":""2024-09-17 17:03:53""}"
30007,POL1004,2024-09-13 17:03:53,SmartC-Incident-v2,0b2fd178e4acf0388621d0fcb0c7c41c9b8c84659e7c947183643118b6d157c6,Node04,PolicyChange,"{""type"":""PolicyChange"",""ref"":""POL1004"",""ts"":""2024-09-13 17:03:53""}"
30008,POL1019,2024-12-07 17:03:53,SmartC-Audit-v2,995f486828e81c57ab8260f939fb6aa5deeefb70e548245e125e6972eb900caa,Node02,PolicyChange,"{""type"":""PolicyChange"",""ref"":""POL1019"",""ts"":""2024-12-07 17:03:53""}"
30009,51316,2024-11-27 17:03:53,SmartC-Policy-v3,e808869f39f0810f9dde8fce8effe9c5d01143af8c4a54248eefeff887aea533,Node05,Access,"{""type"":""Access"",""ref"":""51316"",""ts"":""2024-11-27 17:03:53""}"
30010,POL1013,2025-07-02 17:03:53,SmartC-Access-v2,8d0e8d17cfbbc6ee91e9be34fb6a46b59380cff25a4d17f37ca508a7446e9bfe,Node04,PolicyChange,"{""type"":""PolicyChange"",""ref"":""POL1013"",""ts"":""2025-07-02 17:03:53""}"
