EventID,Timestamp,Source,EmployeeID,EventType,ThreatLevel,DetectedBy,BlockchainHash,AIClassification,ResponseAction,PolicyVersion,EventDetails
50001,2024-08-24 17:03:53,Cloud,1277,Unauthorized Access,Info,AI,36334bb7f7a1b5ccb8373def033703fc6b6df5ad41be91011d1ba02b09335984,Suspicious,Alert,v1.0.17,"{""details"": ""Event Unauthorized Access for user 1277 at 2024-08-24 17:03:53""}"
50002,2025-02-09 17:03:53,User,1133,Policy Change,Critical,Human,0d526c2c6e7c98886bb6a97b404ec6c2f9a134c84ea539943bd4bfe16879fcb0,Benign,Escalated,v2.8.11,"{""details"": ""Event Policy Change for user 1133 at 2025-02-09 17:03:53""}"
50003,2025-02-22 17:03:53,Endpoint,1064,Login,Info,Agentic AI,fb5cc32bb797b4a241866f6124cac45c1575f3c36f0ad8d7204839a72da71651,Suspicious,Escalated,v1.9.18,"{""details"": ""Event Login for user 1064 at 2025-02-22 17:03:53""}"
50004,2025-01-03 17:03:53,Cloud,1274,Password Reset,Info,AI,e4255af4e08e8403de7aa1e36bc8ae8f661cba62b4bfac08a174edb7482b3307,Confirmed Threat,Alert,v3.6.16,"{""details"": ""Event Password Reset for user 1274 at 2025-01-03 17:03:53""}"
50005,2025-03-29 17:03:53,User,1127,Logout,Info,Agentic AI,b022e7220a9c333e021d9525648e15173b82e170c4c3bf476cd008e68a7ad4b1,Suspicious,Ignored,v1.2.13,"{""details"": ""Event Logout for user 1127 at 2025-03-29 17:03:53""}"
50006,2024-08-08 17:03:53,Endpoint,1211,Logout,Info,Human,a81677c0dce72ba624c0d851b560a3055bcf69454aa386429bb3022a243d19ce,Benign,Ignored,v1.5.16,"{""details"": ""Event Logout for user 1211 at 2024-08-08 17:03:53""}"
50007,2024-11-20 17:03:53,System,1207,Password Reset,Info,AI,12a5469f73dd8950179381116b1bbd07ebe5512854460ca4243c72cd0f198f08,Suspicious,Ignored,v3.6.5,"{""details"": ""Event Password Reset for user 1207 at 2024-11-20 17:03:53""}"
50008,2025-03-13 17:03:53,Cloud,1074,User Creation,Warning,Human,9a987e2cf0f9a968fd99ceb00407c38174ce6c7e8b873b0539568e5e7b9ca03d,Confirmed Threat,Blocked,v3.3.14,"{""details"": ""Event User Creation for user 1074 at 2025-03-13 17:03:53""}"
50009,2025-04-20 17:03:53,Cloud,1243,Login,Info,Agentic AI,07c78b260e14a7723d0ef07a9f8cdd6a9ea4e0aa460bd004198bb7f47122ac3a,Confirmed Threat,Ignored,v1.1.11,"{""details"": ""Event Login for user 1243 at 2025-04-20 17:03:53""}"
50010,2025-04-01 17:03:53,Endpoint,1293,Unauthorized Access,Info,AI,4cfa5dcf2dd18f1c4d251e2ea241be8764560b0bedebc9281e956c0f56680d9a,Suspicious,Escalated,v2.7.0,"{""details"": ""Event Unauthorized Access for user 1293 at 2025-04-01 17:03:53""}"
50011,2024-08-01 17:03:53,System,1074,Data Download,Critical,AI,4e17919eb5ffe20c83893bf3992a7e00f9f5630bf1c7e54cfe36fa2935acd726,Suspicious,Alert,v1.7.0,"{""details"": ""Event Data Download for user 1074 at 2024-08-01 17:03:53""}"
50012,2024-08-11 17:03:53,User,1063,User Creation,Warning,AI,863d6e8c6c1aa7e749e8e587c87a58e05f076f10410cdef005b5cb94d7dcfa09,Confirmed Threat,Escalated,v3.7.10,"{""details"": ""Event User Creation for user 1063 at 2024-08-11 17:03:53""}"
50013,2024-09-16 17:03:53,Cloud,1194,Phishing Email,Info,AI,77c83255aafc7383025cc70bfbd0ac2bae62c893a852491ad00dfe7dbf76640f,Suspicious,Ignored,v1.5.2,"{""details"": ""Event Phishing Email for user 1194 at 2024-09-16 17:03:53""}"
50014,2025-01-26 17:03:53,Cloud,1210,Malware Alert,Info,Human,9e0f78a7d845e503ae0eb3fcb979e8d1e2193a377be36553a9333756ebb2f45c,Confirmed Threat,Ignored,v3.4.20,"{""details"": ""Event Malware Alert for user 1210 at 2025-01-26 17:03:53""}"
50015,2025-04-26 17:03:53,Endpoint,1046,Data Download,Info,Agentic AI,6204946381f1cad88853e3a8ac6d7aeeeee2043bab27f5a8278410d9ff935021,Suspicious,Blocked,v3.8.2,"{""details"": ""Event Data Download for user 1046 at 2025-04-26 17:03:53""}"
50016,2025-04-25 17:03:53,Endpoint,1099,Password Reset,Info,Agentic AI,1c7e89e51439c0b3ce57066b2d8b15a42eee1504ad3c2d41534e28962a8964df,Confirmed Threat,Blocked,v1.8.5,"{""details"": ""Event Password Reset for user 1099 at 2025-04-25 17:03:53""}"
50017,2024-11-10 17:03:53,Cloud,1010,Unauthorized Access,Warning,Agentic AI,036bfb1f035db82adc98335de4686f26732940a097bc337f319128090090b39c,Confirmed Threat,Ignored,v1.8.19,"{""details"": ""Event Unauthorized Access for user 1010 at 2024-11-10 17:03:53""}"
50018,2025-03-16 17:03:53,Endpoint,1165,Malware Alert,Warning,Human,7c52e6fee1a7ca476414510e3948ccd06aa7bb513bd31674f0a9383c7c868e60,Suspicious,Alert,v2.0.16,"{""details"": ""Event Malware Alert for user 1165 at 2025-03-16 17:03:53""}"
50019,2024-08-23 17:03:53,User,1163,Malware Alert,Info,Human,8109db140a91042cbe6f2dc4fdaf615c3e91f28f1f4655ca427a63defac53477,Benign,Escalated,v1.2.8,"{""details"": ""Event Malware Alert for user 1163 at 2024-08-23 17:03:53""}"
50020,2025-02-01 17:03:53,User,1046,Data Download,Info,Human,082c6b3a8c0670249107b2fe7b4f07a520ab73b00ea0c128a714885d4ab88f6d,Suspicious,Alert,v1.0.9,"{""details"": ""Event Data Download for user 1046 at 2025-02-01 17:03:53""}"
50021,2024-09-18 17:03:53,User,1200,Logout,Info,AI,91d4a384eec9a05b621e209caab733835acd27c5ba29ab6cc309444f289ab843,Suspicious,Blocked,v1.3.7,"{""details"": ""Event Logout for user 1200 at 2024-09-18 17:03:53""}"
50022,2024-09-04 17:03:53,System,1122,Phishing Email,Info,AI,c845ce35fce4a1377cec7e42e7a513f43639ebfbbd177f6db11722ec5d83999a,Confirmed Threat,Ignored,v1.7.0,"{""details"": ""Event Phishing Email for user 1122 at 2024-09-04 17:03:53""}"
50023,2024-07-17 17:03:53,Cloud,1209,Configuration Change,Info,Agentic AI,6c5b2de364248cdef28ca13d884f68e51f097e57c73b94a76b6690aed80c44e0,Confirmed Threat,Blocked,v1.8.20,"{""details"": ""Event Configuration Change for user 1209 at 2024-07-17 17:03:53""}"
50024,2025-02-21 17:03:53,System,1065,Unauthorized Access,Info,AI,8da182089f93407af8cf2b925c069912709478720b1c4b7d5a0a2f856de338c1,Benign,Alert,v2.8.5,"{""details"": ""Event Unauthorized Access for user 1065 at 2025-02-21 17:03:53""}"
50025,2025-04-18 17:03:53,System,1126,User Creation,Info,Human,1d02c1ca545d15afb7641a91eca4981c5f166b4aec85936487e9de783012182c,Suspicious,Escalated,v3.2.0,"{""details"": ""Event User Creation for user 1126 at 2025-04-18 17:03:53""}"
50026,2025-05-10 17:03:53,User,1031,Phishing Email,Info,AI,bdb7916062003348fddbd729278f3d3cdfef287116f9a27e1f946ee217b607c8,Suspicious,Alert,v3.8.9,"{""details"": ""Event Phishing Email for user 1031 at 2025-05-10 17:03:53""}"
